"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"of",69,"6.5896739130434785%","the",196,"4.972556085635501%","the",15,"6.3559322033898304%","of",6,"4.225352112676056%","the",211,"5.760067584122603%","the",89,"4.752101832668848%","the",94,"4.862594740663999%","the",238,"5.254155017039994%","the",519,"5.875449774500462%","the",423,"5.254046066894225%","the",184,"5.226985140479565%","the",313,"5.390527447663106%","the",286,"7.964760364739712%"
"the",50,"4.619565217391305%","of",166,"3.890908281234216%","to",8,"3.389830508474576%","the",6,"4.225352112676056%","and",120,"3.638493728022595%","and",78,"3.7566795359739196%","of",74,"3.790206386547127%","of",205,"4.308349573728183%","of",331,"3.9004599910623816%","and",294,"3.372666259557055%","of",155,"4.439522415404799%","and",279,"3.3535365412195826%","of",138,"4.006084184518661%"
"and",41,"3.8722826086956523%","and",144,"3.453184289687263%","study",7,"2.9661016949152543%","and",6,"4.225352112676056%","of",96,"4.05626257663052%","of",51,"3.518359047938528%","and",69,"3.5214432518758207%","and",198,"3.641853913397461%","and",310,"3.3129816504986707%","of",275,"3.713434040565869%","and",130,"3.5953320914239995%","of",264,"5.145701289441637%","and",103,"3.370910727444526%"
"in",25,"2.4456521739130435%","in",107,"2.437554125001672%","of",7,"2.9661016949152543%","to",6,"4.225352112676056%","to",83,"2.6911033258024886%","a",42,"1.8164710141539675%","to",57,"2.8375038438434013%","to",125,"2.552335669357347%","to",246,"2.8901373408741575%","to",263,"3.1712465829037733%","to",112,"3.3057839260486395%","to",208,"3.754540961448874%","will",92,"3.1590522210483405%"
"to",22,"1.902173913043478%","to",82,"2.233611215624965%","or",5,"2.1186440677966103%","study",5,"3.5211267605633805%","will",80,"2.0276991888666003%","in",38,"1.723861858901578%","in",40,"2.2096597736199453%","in",121,"2.5215927619177707%","in",193,"2.341719393574938%","in",183,"2.3335939781193304%","in",95,"2.725177921335386%","with",107,"1.9231494593522338%","to",82,"2.8306994695449412%"
"with",18,"1.5625%","a",73,"1.630163034449386%","and",5,"2.1186440677966103%","a",4,"2.816901408450704%","in",71,"2.376173678757134%","will",38,"1.8617581327108368%","will",36,"1.8573859470344012%","a",96,"2.192804494074813%","a",153,"1.568243412796395%","a",157,"1.8894701732126022%","a",74,"1.9361207294154408%","a",107,"1.2879463132715008%","be",66,"2.106821918564036%"
"cognitive",18,"1.766304347826087%","be",56,"1.5935120724551595%","will",5,"2.1186440677966103%","crenezumab",4,"2.816901408450704%","be",55,"1.174584103484672%","for",36,"2.0253767323146783%","study",35,"2.254833889056865%","will",70,"1.5795039904904302%","will",147,"2.076984492266891%","will",153,"1.680512269045413%","will",56,"1.621613534086583%","in",101,"2.1174268327926242%","a",56,"1.6708445759884678%"
"will",18,"1.6304347826086956%","with",54,"1.6850143789316325%","is",4,"1.694915254237288%","participants",4,"2.816901408450704%","for",49,"1.6733746274713097%","to",35,"2.3840964428445397%","a",27,"1.3176067847412305%","is",61,"1.2945398878135155%","with",141,"1.6993717331078064%","with",119,"1.6643757721621684%","for",54,"1.3068699799944106%","will",96,"1.1927707019591844%","in",53,"1.3805119427163361%"
"disease",15,"1.4945652173913042%","will",44,"1.6023073154803815%","5",4,"1.694915254237288%","or",4,"2.816901408450704%","a",46,"1.771894670208209%","with",31,"1.6230111064889583%","is",24,"1.7825960200221633%","for",54,"1.1179278435182065%","for",107,"1.2664542891361257%","is",98,"1.2512511042252166%","study",49,"1.9462608987381689%","for",93,"1.0042403740176622%","for",37,"1.705730125047166%"
