"1988","Num studies:1","","1994","Num studies:1","","1995","Num studies:6","","1996","Num studies:3","","1997","Num studies:3","","1998","Num studies:4","","1999","Num studies:11","","2000","Num studies:20","","2001","Num studies:18","","2002","Num studies:18","","2003","Num studies:39","","2004","Num studies:45","","2005","Num studies:42","","2006","Num studies:54","","2007","Num studies:92","","2008","Num studies:86","","2009","Num studies:111","","2010","Num studies:87","","2011","Num studies:85","","2012","Num studies:90","","2013","Num studies:85","","2014","Num studies:83","","2015","Num studies:100","","2016","Num studies:93","","2017","Num studies:73","","2018","Num studies:87","","2019","Num studies:72","","2020","Num studies:40","","2021","Num studies:38","","2022","Num studies:6","","No Start Date","Num studies:19",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"and",14,"5.017921146953405%","the",34,"6.25%","of",105,"4.134226080898805%","the",44,"3.89650295078769%","the",77,"6.5844856008658015%","the",58,"6.366929809909083%","the",160,"6.250848932779221%","the",213,"5.644168650462894%","the",362,"6.446258346967041%","the",248,"6.0455265423296405%","the",495,"6.165266004983335%","the",565,"5.502725618428447%","the",482,"5.059843257121327%","the",561,"4.871458135038966%","the",907,"5.624950279261546%","the",734,"5.966992537443207%","the",1133,"5.941595360777157%","the",844,"5.758701901553907%","the",934,"5.302809271681013%","the",1145,"5.0212224597032025%","the",1389,"5.7392634263219096%","the",1025,"5.144461355389345%","the",1503,"4.915391555336316%","the",1135,"5.177624785670396%","the",1224,"5.138382757618706%","the",1408,"5.112013467990641%","the",1182,"5.054873861877923%","the",608,"5.187732665621547%","the",663,"5.998305823422469%","the",126,"5.032458074661789%","the",338,"5.474999185556033%"
"the",13,"4.659498207885305%","and",33,"6.0661764705882355%","the",97,"4.831993900332226%","of",42,"4.834995111052273%","of",60,"4.846166513547296%","of",52,"7.109926946243032%","of",122,"5.115870168793742%","of",179,"5.101433800619384%","of",256,"4.567161878833208%","of",201,"5.545718574769467%","of",417,"5.2707801030569446%","of",440,"5.489751989212142%","of",404,"4.94100973643418%","of",524,"5.351330106190805%","of",761,"5.031334657636404%","of",557,"5.088360502735483%","of",972,"5.238846864637302%","of",694,"5.080042783011083%","of",741,"4.758497247183437%","of",938,"4.83939798906636%","and",1059,"3.959452306980338%","of",791,"4.41009700724816%","of",1183,"4.353089032937692%","of",834,"4.287538286827492%","of",822,"4.401230703066256%","of",995,"3.8617393012950934%","and",854,"3.6769207507129362%","of",441,"4.338712698882373%","of",463,"4.95168792138316%","of",76,"3.098596433474501%","of",227,"3.5779872309407366%"
"of",13,"4.659498207885305%","brain",20,"3.676470588235294%","and",71,"3.52824237905622%","and",37,"3.960744420677113%","and",37,"3.55821979056296%","to",28,"4.019008483361981%","and",90,"3.510182183193109%","and",151,"3.3462818455455987%","and",178,"3.035145045204845%","and",160,"3.0377361431619025%","and",352,"3.5984070674433313%","and",351,"3.7676468450056713%","and",369,"3.8361331248104578%","and",492,"4.017294820519932%","and",596,"3.6388463656211196%","and",457,"3.378059685452963%","and",830,"3.750371153295655%","and",520,"3.3311984638054075%","and",657,"3.696695321359674%","and",829,"3.76360742363598%","of",1038,"4.782208478238236%","and",640,"3.293736983913803%","and",1087,"3.4026916445928754%","and",807,"3.6584907993220326%","and",801,"3.5936076750533865%","and",974,"3.434356196255952%","of",811,"3.987166777247969%","and",425,"3.9639940789403534%","and",419,"3.8124803438136827%","and",71,"3.355058107328592%","and",207,"3.3083419633161193%"
"a",12,"4.301075268817204%","in",19,"3.4926470588235294%","a",65,"2.6519861605420956%","to",22,"1.7358667604973024%","to",34,"2.7441146299449137%","and",27,"3.320858558771711%","to",80,"3.1374920049234727%","to",116,"3.179511356036348%","to",166,"2.986453243795647%","to",137,"3.517373082873334%","to",270,"3.24980511596439%","to",257,"3.1038765911810264%","to",264,"3.510779061728277%","to",338,"3.826364813051583%","to",560,"4.07684315534364%","to",393,"3.4108837508313927%","to",588,"3.3138580844946386%","to",446,"3.4097974381448934%","to",521,"3.506790366864213%","to",605,"3.111924240067316%","to",674,"2.9957162912202713%","to",569,"3.3094526360027268%","to",854,"3.228257786026178%","to",592,"3.141540026006153%","to",654,"3.1407113460144274%","to",698,"2.9372798434550584%","to",584,"2.747154516899573%","to",323,"3.431056310278064%","to",290,"2.8898232216320103%","in",51,"2.2721618441651246%","in",148,"2.580229780481315%"
"disease",6,"2.150537634408602%","of",18,"3.3088235294117645%","to",50,"2.4662689827560285%","in",20,"2.674358920761886%","in",27,"2.1620899254058625%","a",23,"1.2695307048637665%","a",68,"1.8614764211149206%","in",103,"2.5900012058706383%","in",139,"2.4535333262712893%","in",110,"2.6460836824022813%","in",223,"2.5274534447363535%","in",240,"2.4095748853835435%","in",244,"2.8386072509056004%","in",236,"2.776095256545649%","in",417,"2.7720801296041495%","in",341,"2.7137691379410556%","in",530,"2.7847179619864724%","in",339,"2.792160894843874%","in",421,"2.6344140806397847%","in",530,"2.6489711207203057%","in",671,"2.5669012230795114%","in",448,"2.478887004751827%","in",689,"2.5236102869786103%","in",476,"2.3888559136014615%","in",503,"2.6341697722455546%","in",641,"2.452555537135169%","in",515,"2.5423655669644885%","will",239,"1.428091387275488%","in",279,"2.87788884439645%","to",46,"2.670546425024676%","to",138,"2.411130827554846%"
"genetic",6,"2.150537634408602%","to",16,"2.9411764705882355%","in",38,"2.4331646414959294%","interventions",14,"0.8045977011494253%","study",24,"2.206934599448314%","in",21,"1.7797934272945577%","in",60,"2.340398671441595%","a",83,"1.9036858642960588%","a",89,"1.729652006265968%","will",86,"1.2428423826360666%","a",167,"1.4229872746800152%","a",209,"1.8744211392036072%","a",175,"1.8966980416081012%","a",203,"1.480003944114149%","a",358,"1.7492403524980724%","a",279,"1.720490703292369%","a",347,"1.5366690256807811%","a",296,"1.7446977886340134%","a",286,"1.6790485090293779%","a",374,"1.5244236538301497%","a",462,"1.6203907182557917%","a",363,"1.9328714923553825%","will",670,"1.680504219288888%","will",434,"1.384199739584936%","a",398,"2.0271317499332024%","a",514,"2.084157485685129%","a",366,"1.890956927024215%","in",226,"1.8652202183889255%","a",202,"1.9570754912872068%","clinical",44,"1.3058532070289919%","a",114,"2.163896365525911%"
"family",6,"2.150537634408602%","with",11,"2.0220588235294117%","is",37,"2.277505297491888%","that",12,"1.5491112798823865%","galantamine",23,"1.5277822053619816%","is",18,"2.7317042126535767%","will",47,"1.296714017691497%","will",82,"1.7473922275436489%","is",88,"1.6740520203894418%","a",82,"1.6249722236599256%","will",161,"1.9293590395178073%","with",157,"1.891968987173925%","will",133,"1.2955429493548245%","with",193,"2.052018410090569%","with",269,"1.8137235968231828%","study",222,"2.4662052328313058%","is",306,"1.7839271533435395%","will",262,"1.429965401105038%","will",269,"1.0518039303713715%","will",373,"1.278339028543035%","will",419,"1.359142782959892%","will",311,"1.2321917437238559%","a",517,"1.6731771129146185%","a",402,"1.8806994700053916%","will",365,"1.298908195764305%","will",429,"1.4744157491999446%","will",331,"1.6031942609034981%","a",204,"1.953944621094297%","will",200,"1.4438674555854796%","a",33,"1.4233906631625883%","will",88,"1.5135554887348697%"
"alzheimer",5,"1.7921146953405018%","disease",9,"1.6544117647058822%","with",31,"1.2969581488198052%","is",11,"1.4916400155145704%","is",22,"2.1965485375194085%","dementia",18,"1.0776427506824233%","study",44,"1.9951399308805848%","with",72,"2.1309457099781617%","with",88,"1.6531567481902276%","with",67,"1.669763629633344%","study",133,"1.8510526845933941%","is",153,"1.8699850491133503%","with",122,"1.8464473380436919%","is",159,"1.5364566023211887%","will",234,"1.0040033163499904%","will",219,"1.4979948844475899%","with",303,"1.7556981284361635%","with",232,"1.712477157237529%","with",264,"1.7915738803079875%","with",306,"1.597175656050964%","is",363,"1.5944357389925161%","with",306,"1.5646009872226947%","be",468,"1.0944207196142544%","be",284,"0.8787646654712351%","be",287,"1.0029755244725993%","with",369,"1.4486213656888647%","with",293,"1.488608526969061%","with",139,"1.6084711181126905%","with",186,"1.8447144897591934%","with",30,"1.1349097027962705%","for",87,"1.3818156798840213%"
"is",5,"1.7921146953405018%","a",8,"1.4705882352941178%","patients",25,"1.5115665984447053%","on",11,"1.0619119617802737%","disease",20,"1.3309318116611941%","study",14,"2.628991824088145%","be",38,"1.0785759233424854%","be",58,"1.271711720302431%","will",86,"1.5514094188050818%","study",64,"2.0719772151447815%","with",133,"1.9880173116643283%","will",139,"1.2487735706724432%","is",120,"1.4541594830531988%","for",141,"0.8988454167002047%","is",222,"1.814289065955066%","with",205,"1.938766036213081%","study",262,"2.0482194127246065%","study",192,"1.9788315113546844%","is",210,"1.828458003196051%","study",274,"1.6000048389431212%","with",296,"1.4943760641575377%","study",258,"1.8749095249498524%","with",408,"1.6904096875019607%","for",250,"1.054410780203782%","is",276,"1.5840699316476066%","is",336,"1.4209451038232068%","is",245,"1.387930446040279%","be",138,"1.0015924086577663%","be",118,"0.9471087250943097%","will",26,"2.3554261927064686%","is",84,"1.479128527018635%"
