"2007","Num studies:1","","2008","Num studies:1","","2014","Num studies:1","","2016","Num studies:4","","2017","Num studies:2","","2018","Num studies:4","","2019","Num studies:6","","2020","Num studies:9","","2021","Num studies:13","","2022","Num studies:10",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"the",34,"6.772908366533865%","of",7,"5.109489051094891%","the",9,"5.232558139534884%","and",54,"4.843688958661901%","the",46,"5.77745035573962%","and",69,"5.5805101809555815%","and",53,"4.82660135340355%","the",208,"4.94253928607532%","the",226,"4.1886456566188865%","the",209,"5.064124122371878%"
"and",24,"4.780876494023905%","to",7,"5.109489051094891%","of",8,"4.651162790697675%","the",49,"4.296292774726644%","of",27,"3.5016459594350637%","the",64,"5.553811168193473%","the",46,"4.340124993352471%","and",169,"3.9835802496998065%","and",184,"3.827363796699066%","and",141,"3.6664648041760715%"
"of",20,"3.9840637450199203%","imaging",6,"4.37956204379562%","amyloid",7,"4.069767441860465%","of",37,"3.194665786580477%","and",26,"2.9833014760539447%","of",36,"2.6611982472845255%","of",39,"3.4210722231330473%","of",135,"3.3996324317803897%","of",177,"4.138328030143649%","of",127,"3.028359404167687%"
"to",19,"3.7848605577689245%","in",5,"3.6496350364963503%","will",6,"3.488372093023256%","in",35,"2.839297111539671%","to",20,"2.4696028459169588%","in",32,"3.147877459278252%","to",31,"2.7334097435865368%","to",111,"2.4151356992502304%","to",130,"3.1555869943686696%","to",102,"2.390308280035899%"
"wbdp",13,"2.589641434262948%","this",4,"2.9197080291970803%","brain",6,"3.488372093023256%","to",34,"3.0100839572827476%","in",17,"1.671843474567272%","will",29,"1.9870992263282798%","in",30,"2.728440373657598%","will",95,"2.304081937362034%","will",110,"1.542230591655998%","in",83,"2.0127786694486405%"
"research",12,"2.3904382470119523%","is",4,"2.9197080291970803%","to",4,"2.3255813953488373%","with",23,"2.3008288243844506%","with",14,"1.6313581820112564%","to",28,"2.9243182011484237%","a",23,"2.144851410854647%","in",82,"2.232845173315655%","in",101,"2.5115428615856703%","a",74,"1.842473800949664%"
"as",12,"2.3904382470119523%","the",4,"2.9197080291970803%","in",4,"2.3255813953488373%","amyloid",20,"1.5045303940935009%","will",13,"2.194833811192524%","with",20,"1.3575671685834723%","is",16,"1.4662688257871421%","a",63,"1.5748741833283386%","a",84,"2.222004037977849%","will",62,"2.1143689546677744%"
"brain",11,"2.191235059760956%","a",3,"2.18978102189781%","this",4,"2.3255813953488373%","a",19,"1.7755430260404%","be",12,"1.676489327811405%","be",16,"1.128855782156282%","disease",14,"1.4203832192400219%","be",56,"1.421452862215493%","with",67,"1.7446786165118389%","study",53,"1.7903683910939763%"
"in",9,"1.792828685258964%","study",3,"2.18978102189781%","and",4,"2.3255813953488373%","is",18,"1.695862297286776%","gait",11,"0.9417808219178082%","a",15,"1.0475027201422253%","tau",13,"1.1451306002421726%","with",52,"1.2346724806156297%","be",50,"0.6010415459587279%","is",51,"1.2621825841056318%"
"wisconsin",7,"1.3944223107569722%","and",3,"2.18978102189781%","with",4,"2.3255813953488373%","brain",17,"1.588600788127288%","cognitive",10,"1.18071041733036%","cognitive",14,"0.9653571476728652%","this",12,"1.1043072274477546%","patients",37,"0.9054246431566679%","this",48,"1.7538881888552995%","for",43,"1.351085555873472%"
"alzheimer",7,"1.3944223107569722%","brain",3,"2.18978102189781%","at",3,"1.744186046511628%","ad",17,"1.4776700521965522%","tau",9,"0.7705479452054794%","impairment",14,"0.9653571476728652%","study",12,"1.0525971409902863%","for",35,"0.9091357941113368%","for",42,"0.698122372340429%","with",42,"1.17491349958178%"
"disease",6,"1.1952191235059761%","pittsburgh",2,"1.4598540145985401%","be",3,"1.744186046511628%","will",15,"1.4360924678448153%","this",8,"0.9012955293617926%","this",12,"0.7657936151079137%","with",12,"1.1667349909130793%","are",30,"0.6993207839114214%","study",38,"1.8398614562249378%","be",41,"1.2357302148577478%"
"tissues",5,"0.9960159362549801%","compound",2,"1.4598540145985401%","study",3,"1.744186046511628%","this",13,"1.0893780980721932%","is",8,"0.9012955293617926%","for",12,"0.7820425104553036%","alzheimer",12,"1.0534062806901447%","is",28,"0.8185053260343697%","is",35,"1.0915509973728028%","ad",36,"0.7502315284780436%"
"tissue",5,"0.9960159362549801%","b",2,"1.4598540145985401%","is",3,"1.744186046511628%","study",12,"0.9451396769357934%","are",8,"0.9012955293617926%","dementia",11,"1.7141093569780854%","ad",12,"0.9872011017778913%","study",27,"0.8619007293920747%","as",34,"1.1161327757690656%","at",35,"0.7906867309853282%"
"diseases",5,"0.9960159362549801%","pib",2,"1.4598540145985401%","that",3,"1.744186046511628%","that",12,"1.172012495524353%","associated",8,"0.684931506849315%","study",10,"0.6680830724693602%","will",10,"0.8758307871046677%","it",24,"0.5022582634776368%","or",30,"0.7166658649712103%","on",33,"0.7725769972409336%"
"by",5,"0.9960159362549801%","pet",2,"1.4598540145985401%","memory",3,"1.744186046511628%","disease",11,"1.0467751914910917%","study",8,"1.11765955187427%","patients",9,"0.6029789058026935%","dementia",10,"1.1198824608679032%","2",24,"0.4981097992629867%","program",30,"0.3554103499456449%","care",33,"0.7302405385823498%"
"is",5,"0.9960159362549801%","change",2,"1.4598540145985401%","participants",2,"1.1627906976744187%","be",11,"0.9046953585788537%","brain",8,"0.684931506849315%","is",8,"0.548178995730751%","caregivers",10,"0.9175465057817999%","1",24,"0.48322197606019635%","that",28,"0.6277684080948618%","this",30,"1.0072842080645066%"
"adrc",5,"0.9960159362549801%","amyloid",2,"1.4598540145985401%","alzheimer",2,"1.1627906976744187%","cognitive",11,"0.9046953585788537%","as",7,"0.7074970797493895%","mexican",8,"0.5208333333333334%","be",8,"0.7126905504350192%","treatment",23,"0.5459125348798408%","training",26,"0.10030090270812438%","or",26,"0.6950847518110113%"
"approved",5,"0.9960159362549801%","biomarkers",2,"1.4598540145985401%","disease",2,"1.1627906976744187%","as",11,"0.779640640276483%","been",7,"0.5993150684931506%","brain",7,"0.49932372441147427%","preclinical",7,"0.5691056910569106%","on",21,"0.613527893248897%","by",24,"0.2854259153871643%","music",22,"0.3875788225920852%"
"other",4,"0.796812749003984%","neurodegenerative",2,"1.4598540145985401%","research",2,"1.1627906976744187%","alzheimer",10,"0.944316175097649%","has",7,"0.5993150684931506%","as",7,"0.5147801093035607%","functional",7,"0.5691056910569106%","cognitive",21,"0.7416749283524167%","cope",24,"0.09258544865365327%","clinical",20,"0.556602235544473%"
"individuals",4,"0.796812749003984%","new",2,"1.4598540145985401%","a",2,"1.1627906976744187%","patients",9,"0.8013119301516564%","patients",7,"1.248407136030583%","that",7,"0.4933790856588086%","mobility",7,"0.5691056910569106%","group",21,"0.4552890542952431%","dementia",23,"0.7037912119874666%","are",18,"0.4827779194528511%"
"neurodegenerative",4,"0.796812749003984%","that",2,"1.4598540145985401%","it",2,"1.1627906976744187%","comirb",9,"0.5461165048543689%","impairment",6,"0.7300626526494638%","health",7,"0.4933790856588086%","are",7,"0.5597074295511527%","osa",20,"0.46359002754351597%","fidelity",23,"0.08872772162641772%","dementia",18,"0.34862843140622557%"
"a",4,"0.796812749003984%","prospective",1,"0.7299270072992701%","build",2,"1.1627906976744187%","mri",8,"0.7596334356043094%","that",6,"0.7300626526494638%","or",7,"1.5075915046509505%","that",7,"0.7127195343551315%","participants",20,"0.6436548430126197%","disease",22,"1.0868223692530568%","disease",17,"0.5328705127014027%"
"researchers",4,"0.796812749003984%","open",1,"0.7299270072992701%","up",2,"1.1627906976744187%","subjects",8,"0.8049811569229046%","aortic",6,"0.5136986301369864%","disease",6,"0.4231227906947798%","participants",6,"0.45087447979541917%","this",19,"0.5909746067604156%","we",22,"0.20777218013446913%","that",17,"0.3150521426680041%"
"biospecimens",4,"0.796812749003984%","label",1,"0.7299270072992701%","an",2,"1.1627906976744187%","longitudinal",8,"0.5998613037447988%","ultrasound",6,"1.1627906976744187%","inflammation",6,"0.3597122302158273%","falls",6,"0.4878048780487805%","intervention",19,"0.5235759999753175%","alzheimer",21,"1.0873206438974077%","therapy",17,"0.2791461412151067%"
"this",4,"0.796812749003984%","non-therapeutic",1,"0.7299270072992701%","scan",2,"1.1627906976744187%","are",7,"0.6025052082866822%","disease",5,"0.4280821917808219%","participants",6,"0.3597122302158273%","for",6,"0.4881304552768883%","as",19,"0.3911044710156744%","clinical",20,"0.5153463728623777%","participants",17,"0.4317501603649278%"
"for",4,"0.796812749003984%","diagnostic",1,"0.7299270072992701%","collected",2,"1.1627906976744187%","it",7,"0.6622604079034128%","for",5,"0.6444462142932994%","ad",5,"0.2997601918465228%","slow",6,"0.6578947368421052%","an",18,"0.3863498623406394%","are",19,"0.45363465025368777%","life",16,"0.3654369718520311%"
"data",4,"0.796812749003984%","purpose",1,"0.7299270072992701%","help",2,"1.1627906976744187%","for",7,"0.6227405015802278%","between",5,"0.4280821917808219%","it",5,"0.33661760038336114%","intervention",6,"0.49941029043196233%","that",18,"0.3935540255096857%","an",19,"0.23428314779641485%","subjects",15,"0.575218743991331%"
"program",3,"0.5976095617529881%","utilize",1,"0.7299270072992701%","risk",2,"1.1627906976744187%","pet",6,"0.626409728351476%","white",5,"0.4280821917808219%","research",5,"0.32036870503597126%","clinical",5,"0.4285590728247708%","training",18,"0.26727624535615657%","at",16,"0.32858373721962714%","can",14,"0.24420973173724456%"
"studies",3,"0.5976095617529881%","positron",1,"0.7299270072992701%","for",2,"1.1627906976744187%","by",6,"0.4762425820240559%","matter",5,"0.4280821917808219%","on",5,"0.4059727996149793%","at",5,"0.41075077481103306%","use",18,"0.3192010527476836%","caregivers",16,"0.3358474996058881%","by",14,"0.4108764214722271%"
"well",3,"0.5976095617529881%","emission",1,"0.7299270072992701%","enrolled",1,"0.5813953488372093%","measure",5,"0.5657301167009905%","by",5,"0.6444462142932994%","american",5,"0.3255208333333333%","an",5,"0.4338349890717179%","care",17,"0.3435314897449903%","ad",15,"0.7471369340408347%","cognitive",14,"0.36469714235913553%"
"their",3,"0.5976095617529881%","ascertain",1,"0.7299270072992701%","center",1,"0.5813953488372093%","2",5,"0.4679726828779829%","levels",5,"0.4280821917808219%","caregivers",5,"0.3255208333333333%","brain",5,"0.4180954107209809%","ad",17,"0.5406584233428126%","data",15,"0.3988777397962156%","as",14,"0.2924325999986455%"
"order",3,"0.5976095617529881%","relationship",1,"0.7299270072992701%","adrc",1,"0.5813953488372093%","protein",5,"0.4631701901119377%","obtained",5,"0.9689922480620154%","alzheimer",4,"0.2980665856588086%","pathology",5,"0.4359107420861443%","lead",17,"0.3170722337471325%","intervention",15,"0.36465014982753235%","research",14,"0.26133524570716127%"
"an",3,"0.5976095617529881%","between",1,"0.7299270072992701%","wake",1,"0.5813953488372093%","investigators",5,"0.36898107286456805%","an",4,"0.4506477646808963%","pd",4,"0.23980815347721823%","as",5,"0.4577235556749422%","acp",16,"0.3848003848003848%","care",15,"0.31842136937347004%","1",14,"0.4929074116590179%"
"promote",3,"0.5976095617529881%","burden",1,"0.7299270072992701%","forest",1,"0.5813953488372093%","memory",5,"0.4107604776075252%","mobility",4,"0.3424657534246575%","at",4,"0.23980815347721823%","metformin",5,"0.39872408293460926%","using",16,"0.4166148049607494%","research",14,"0.43710587822109837%","sessions",14,"0.3089956651911938%"
"with",3,"0.5976095617529881%","over",1,"0.7299270072992701%","school",1,"0.5813953488372093%","between",5,"0.4107604776075252%","speed",4,"0.3424657534246575%","points",4,"0.2929144573614465%","needs",5,"0.359856861404849%","by",15,"0.2672890352943146%","have",14,"0.21698283858501277%","alzheimer",13,"0.5658930457239357%"
"national",3,"0.5976095617529881%","time",1,"0.7299270072992701%","medicine",1,"0.5813953488372093%","impairment",5,"0.5001471020888497%","protein",4,"0.3424657534246575%","regional",4,"0.23980815347721823%","wave",5,"0.5482456140350876%","caregiver",15,"0.19654088050314467%","trial",14,"0.5800944088065098%","treatment",13,"0.30311378091476393%"
