"No Start Date","Num studies:4",""
"word","number of mentions","Avg percent of mentions per study"
"the",65,"6.829331847142988%"
"to",33,"4.357334570713286%"
"brain",20,"1.1324191497405232%"
"-",16,"1.51218338660343%"
"of",15,"2.7165516561476517%"
"is",11,"1.80952136212709%"
"a",11,"1.3581077246835165%"
"for",11,"2.203630421629713%"
"in",11,"0.7449221569233941%"
"will",10,"1.7840070031090527%"
"be",10,"1.5314036419377979%"
"as",8,"1.12330421035487%"
"cells",7,"0.3668763102725367%"
"it",7,"0.3668763102725367%"
"this",6,"1.4632657343991453%"
"patient",6,"1.9349456038278994%"
"disease",6,"1.2375589156773588%"
"and",6,"1.7158690955704001%"
"so",6,"0.39866652919544976%"
"blood",6,"0.39866652919544976%"
"immune",6,"0.31446540880503143%"
"system",6,"0.31446540880503143%"
"up",6,"0.31446540880503143%"
"access",5,"1.8049638924342633%"
"study",5,"1.3200234020769344%"
"alzheimer",5,"1.1851480142098536%"
"increase",5,"0.3462556277279445%"
"that",5,"0.2620545073375262%"
"has",4,"0.2938447262604392%"
"months",4,"0.3780458466508575%"
"not",4,"0.6037526653726442%"
"more",4,"0.20964360587002095%"
"was",4,"0.20964360587002095%"
"hypnotherapy",4,"0.20964360587002095%"
"things",4,"0.20964360587002095%"
"expanded",3,"1.3060330299966296%"
"safety",3,"1.080326211274843%"
"an",3,"1.3060330299966296%"
"treatment",3,"0.6355428842955572%"
"with",3,"0.4098360655737705%"
"trappsol",3,"0.4098360655737705%"
"r",3,"0.4098360655737705%"
"cyclo",3,"0.4098360655737705%"
"tm",3,"0.4098360655737705%"
"day",3,"0.241433824792934%"
"by",3,"0.241433824792934%"
"or",3,"0.241433824792934%"
"long",3,"0.241433824792934%"
"risk",3,"0.6355428842955572%"
"benefit",3,"0.6355428842955572%"
"program",3,"1.0869565217391304%"
"from",3,"0.15723270440251572%"
"been",3,"0.15723270440251572%"
"beta-amyloid",3,"0.15723270440251572%"
"slow",3,"0.15723270440251572%"
"does",3,"0.15723270440251572%"
"cancelled",3,"0.15723270440251572%"
"do",3,"0.15723270440251572%"
"clean",3,"0.15723270440251572%"
"many",3,"0.15723270440251572%"
"body",3,"0.15723270440251572%"
"fight",3,"0.15723270440251572%"
"can",3,"0.15723270440251572%"
"you",3,"0.15723270440251572%"
"subject",2,"0.9437141894169194%"
"evaluated",2,"0.9437141894169194%"
"function",2,"0.6338062503047146%"
"quality",2,"0.6338062503047146%"
"life",2,"0.6338062503047146%"
"other",2,"0.18902292332542875%"
"dose",2,"0.273224043715847%"
"subsequent",2,"0.273224043715847%"
"dosing",2,"0.273224043715847%"
