"2017","Num studies:1","","2019","Num studies:2","","2020","Num studies:3","","2021","Num studies:20","","2022","Num studies:79","","2023","Num studies:35","","2024","Num studies:3","","2025","Num studies:1",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"of",28,"5.882352941176471%","the",18,"6.521260674355137%","the",128,"5.442242690883995%","the",328,"5.722793350482802%","the",1539,"5.033157207258717%","the",711,"4.837320856425105%","the",107,"6.63618459138186%","the",9,"5.69620253164557%"
"the",20,"4.201680672268908%","and",13,"3.6556915221410335%","of",120,"4.2610728140619445%","of",265,"5.162077579781068%","and",1080,"3.8869596609287074%","and",505,"3.830094734330291%","of",81,"3.5489864617467064%","insulin",6,"3.7974683544303796%"
"and",15,"3.1512605042016806%","of",10,"3.167092173606832%","and",104,"3.644337559079407%","and",225,"3.5235944787639597%","of",1014,"3.992079172336389%","of",482,"3.757768223533458%","and",69,"3.261306865789914%","of",6,"3.7974683544303796%"
"in",9,"1.8907563025210083%","will",9,"1.9786072717668808%","to",65,"2.608328856630487%","a",136,"2.024274711309857%","to",833,"3.1626240172996605%","to",380,"2.813051575069169%","in",63,"2.799765973142412%","device",5,"3.1645569620253164%"
"imaging",8,"1.680672268907563%","months",8,"1.3029315960912051%","in",64,"2.78459249586967%","to",133,"2.5802630383708807%","in",656,"2.242469449702203%","will",304,"1.9968521723375412%","to",52,"2.4831752727037273%","study",5,"3.1645569620253164%"
"disease",8,"1.680672268907563%","to",7,"3.191302051236905%","with",40,"1.709903610379154%","in",114,"2.3825764389789894%","will",531,"1.6149886246350236%","a",271,"2.1861447072082476%","care",44,"1.3863709418193508%","will",5,"3.1645569620253164%"
"is",8,"1.680672268907563%","for",7,"1.6528743727440796%","is",34,"1.2561031837526404%","is",90,"2.0534855760827733%","a",515,"1.7963826950211024%","in",268,"1.881272541622824%","a",40,"2.413189988028863%","or",4,"2.5316455696202533%"
"diffusion",7,"1.4705882352941178%","a",6,"2.0028171493969538%","are",27,"0.8000782932848151%","will",86,"1.3417616270876358%","be",377,"1.1811290168298219%","for",191,"1.348468538104757%","will",38,"2.7179429070051575%","a",3,"1.8987341772151898%"
"as",7,"1.4705882352941178%","condition",6,"0.9771986970684039%","a",22,"0.9060429933391889%","with",80,"1.338564670079846%","with",366,"1.6625259251968385%","be",191,"1.212605781632405%","mcp",33,"0.7213114754098361%","placebo",3,"1.8987341772151898%"
