"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"with",6,"4.137931034482759%","the",11,"6.285714285714286%","the",30,"5.225345827755467%","and",177,"6.200004255755603%","the",85,"6.993637923962997%","the",24,"6.18808594268717%","the",76,"3.8622934547863346%","to",33,"5.269398596091824%","the",107,"6.36621275292341%","the",154,"4.232790544787654%","the",447,"5.747925816885346%","the",475,"5.113671104962695%","the",740,"5.24820060248773%","the",1122,"5.245366342302214%","the",1465,"5.419072012054044%","the",2537,"5.070588075537334%","the",1735,"4.807094702271557%","the",6,"6.0%"
"will",6,"4.137931034482759%","ad",6,"3.4285714285714284%","and",26,"3.1325301204819276%","the",128,"4.1399461075757795%","of",70,"5.130464956561797%","to",15,"3.5176479961756035%","and",64,"3.0026537187421036%","the",30,"3.979320811990135%","of",72,"4.427429435110131%","of",126,"4.063534053706525%","and",327,"4.309967669337367%","and",365,"4.098393523877562%","and",524,"3.9215446676945795%","of",805,"4.211608727012206%","and",1108,"3.953466391652641%","and",1878,"3.968155099013547%","and",1437,"3.962911836379406%","and",5,"5.0%"
"of",5,"3.4482758620689653%","of",5,"2.857142857142857%","of",24,"6.918786256135654%","of",94,"4.0550059492611705%","to",47,"3.802434581091662%","of",14,"3.572092529147744%","to",56,"3.4116877689837573%","and",24,"3.8773477518497437%","and",62,"2.7146789919653784%","and",125,"3.2166474247790062%","of",257,"3.913754341780629%","of",297,"3.3768310129795296%","of",520,"3.910944212133168%","and",749,"3.8824192221055718%","of",1030,"4.1473519488238635%","of",1811,"3.998380228181447%","of",1325,"4.046462188426394%","to",4,"4.0%"
"to",5,"3.4482758620689653%","families",5,"2.857142857142857%","to",19,"5.510932619366354%","to",77,"3.338856824666513%","and",47,"3.701578175535325%","and",12,"3.3197885958622155%","of",43,"2.3839706434493144%","will",22,"2.191235059760956%","in",51,"2.595004481849074%","to",106,"2.857930821474558%","to",197,"2.629700591139562%","to",255,"3.3494091657113594%","to",374,"2.9805041335934868%","to",622,"3.1450552075306155%","to",740,"3.175350312578367%","to",1361,"2.971768748496878%","to",962,"2.948906014404686%","is",3,"3.0%"
"patients",5,"3.4482758620689653%","with",5,"2.857142857142857%","fad",14,"1.6867469879518073%","dementia",52,"1.5653659208980273%","in",35,"2.61516265721767%","are",11,"2.6518471303747377%","will",37,"2.0295455055481844%","of",16,"3.08053500284576%","to",43,"2.352113117366157%","a",77,"2.4806351691481323%","will",175,"1.8213979677918406%","in",200,"2.218307856299203%","in",340,"2.5565908438024336%","in",440,"2.027648029311755%","in",627,"2.4393219468924827%","in",1039,"2.2342513547257745%","in",798,"2.272740370863002%","a",3,"3.0%"
"and",5,"3.4482758620689653%","alzheimer",4,"2.2857142857142856%","in",13,"2.3717090584560463%","in",50,"1.5763894047727949%","cells",32,"1.8513538280104544%","diagnosis",7,"1.5151515151515151%","study",33,"1.602005174202206%","be",16,"2.5848985012331624%","will",37,"1.744781946766046%","in",77,"2.240188227346794%","in",170,"2.2841657585637276%","a",128,"1.674374195328011%","will",251,"1.7991316526169363%","will",388,"1.7868590811470317%","will",455,"1.548716531036075%","will",907,"1.612457982140144%","will",712,"1.7726044830849972%","in",3,"3.0%"
"the",4,"2.7586206896551726%","disease",4,"2.2857142857142856%","china",7,"0.8433734939759037%","will",44,"1.1717566012301721%","for",20,"1.353143932423314%","dementia",7,"2.0569410139962288%","in",29,"2.161556015172795%","participants",16,"1.593625498007968%","a",32,"2.3616372429507546%","will",72,"2.0180260742133793%","a",137,"1.927117713199308%","with",116,"1.648615566294444%","a",229,"1.6131041928299135%","a",336,"1.6318061467932625%","a",429,"1.4893580431887574%","a",821,"1.7968197091332765%","a",643,"1.9167740328390823%","university",2,"2.0%"
"normal",4,"2.7586206896551726%","study",4,"2.2857142857142856%","clarify",6,"0.7228915662650602%","for",34,"1.2137698441176923%","ips",19,"1.099537037037037%","is",6,"1.5695960481236555%","be",27,"1.0596488114441798%","in",14,"3.376968317207361%","with",27,"1.5639682003808921%","tau",65,"0.5449362843729041%","be",118,"1.1075496760447336%","will",114,"1.39071592976557%","with",203,"1.5325824183589907%","with",253,"1.3262115848313885%","with",362,"1.3318599945746916%","with",591,"1.3632970706901946%","with",554,"1.890039143649212%","of",2,"2.0%"
"participants",4,"2.7586206896551726%","to",4,"2.2857142857142856%","characteristics",6,"0.7228915662650602%","cognitive",29,"1.2847362768537116%","that",14,"0.8057029706126091%","in",6,"1.388999548508751%","a",26,"1.293386561464602%","registry",10,"0.9960159362549801%","be",23,"0.9013945304147114%","ad",41,"1.1913863271582021%","study",88,"1.5614233324680211%","for",109,"1.4125840350358385%","be",146,"1.1566848028789392%","is",247,"1.369386893043628%","for",329,"1.004414960752934%","be",547,"0.9096714935731275%","for",430,"1.18100002249193%","program",2,"2.0%"
