"2005","Num studies:1","","2019","Num studies:1","","2020","Num studies:1","","2023","Num studies:1",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"of",22,"4.621848739495798%","the",15,"4.966887417218543%","the",20,"4.68384074941452%","will",5,"4.065040650406504%"
"the",22,"4.621848739495798%","and",13,"4.304635761589404%","of",15,"3.51288056206089%","weeks",5,"4.065040650406504%"
"and",19,"3.991596638655462%","will",12,"3.9735099337748343%","to",14,"3.278688524590164%","of",5,"4.065040650406504%"
"in",13,"2.73109243697479%","be",10,"3.3112582781456954%","study",12,"2.810304449648712%","the",5,"4.065040650406504%"
"ad",13,"2.73109243697479%","in",9,"2.980132450331126%","and",12,"2.810304449648712%","patients",4,"3.252032520325203%"
"to",12,"2.5210084033613445%","of",8,"2.6490066225165565%","subjects",12,"2.810304449648712%","dose",4,"3.252032520325203%"
"for",11,"2.310924369747899%","arm",7,"2.3178807947019866%","week",10,"2.34192037470726%","group",4,"3.252032520325203%"
"a",11,"2.310924369747899%","patients",6,"1.9867549668874172%","ad",9,"2.107728337236534%","we",3,"2.4390243902439024%"
"be",10,"2.100840336134454%","to",5,"1.6556291390728477%","with",8,"1.873536299765808%","with",3,"2.4390243902439024%"
"is",10,"2.100840336134454%","15",5,"1.6556291390728477%","will",8,"1.873536299765808%","2",3,"2.4390243902439024%"
"will",9,"1.8907563025210083%","enrolled",5,"1.6556291390728477%","30",8,"1.873536299765808%","in",3,"2.4390243902439024%"
"patients",9,"1.8907563025210083%","total",5,"1.6556291390728477%","a",7,"1.639344262295082%","and",3,"2.4390243902439024%"
"with",8,"1.680672268907563%","with",4,"1.3245033112582782%","in",7,"1.639344262295082%","a",2,"1.6260162601626016%"
"in-vivo",7,"1.4705882352941178%","dose",4,"1.3245033112582782%","treatment",7,"1.639344262295082%","amci",2,"1.6260162601626016%"
"mci",7,"1.4705882352941178%","a",4,"1.3245033112582782%","placebo",6,"1.405152224824356%","or",2,"1.6260162601626016%"
"this",6,"1.2605042016806722%","treatment",4,"1.3245033112582782%","dose",6,"1.405152224824356%","mild",2,"1.6260162601626016%"
