"1981","Num studies:1","","1999","Num studies:2","","2001","Num studies:2","","2002","Num studies:1","","2003","Num studies:5","","2004","Num studies:3","","2005","Num studies:4","","2006","Num studies:6","","2007","Num studies:13","","2008","Num studies:16","","2009","Num studies:21","","2010","Num studies:12","","2011","Num studies:8","","2012","Num studies:21","","2013","Num studies:14","","2014","Num studies:16","","2015","Num studies:17","","2016","Num studies:20","","2017","Num studies:12","","2018","Num studies:11","","2019","Num studies:10","","2020","Num studies:1","","2021","Num studies:1","","No Start Date","Num studies:2",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"and",15,"10.869565217391305%","and",4,"7.1875%","the",69,"7.152406417112299%","of",18,"5.373134328358209%","and",56,"5.178050531402659%","the",16,"5.771978298038558%","the",14,"7.8257111089389575%","of",51,"3.6523721525875943%","the",120,"5.375029946135384%","the",173,"6.278622863172083%","of",129,"5.609132846163959%","the",90,"4.87076987100145%","the",78,"4.549647176738482%","the",182,"5.195275016722383%","the",121,"5.2159406234279375%","the",106,"5.0727895371327705%","the",287,"5.660846635470129%","the",396,"6.522023980043505%","the",94,"5.415011110135083%","the",133,"7.755027243664296%","the",156,"4.815505037053283%","the",25,"7.575757575757576%","will",4,"6.779661016949152%","the",101,"6.053515718742501%"
"of",7,"5.072463768115942%","of",3,"6.5625%","in",36,"3.6764705882352944%","the",17,"5.074626865671642%","of",38,"5.04636900053005%","to",11,"4.042636300240184%","of",9,"5.36941213365264%","the",48,"2.7727260562728553%","of",94,"4.329323982380405%","of",133,"5.981806263195193%","the",116,"5.531863810373331%","of",83,"5.032144810332997%","and",51,"4.247214064553554%","of",152,"4.921250246164549%","of",89,"4.765391019555655%","of",96,"5.25012249317949%","of",206,"4.820133728188148%","of",260,"4.829292260721873%","of",66,"3.724852064782164%","of",103,"5.29131956366437%","and",131,"4.085071159891186%","and",17,"5.151515151515151%","be",4,"6.779661016949152%","will",61,"3.1629469642428605%"
"disorders",7,"5.072463768115942%","to",2,"5.0%","of",35,"4.879679144385027%","with",12,"3.582089552238806%","the",30,"4.467035844410523%","in",10,"3.3334164420841557%","in",7,"4.173641317628659%","to",46,"2.5643690542427033%","and",85,"3.536350924757905%","in",108,"3.764821557779304%","in",76,"3.9812682743915064%","and",68,"3.2909866326165935%","of",49,"3.6794434619394805%","and",117,"3.0814505550962537%","to",79,"4.478997688517792%","and",82,"3.446104533577998%","and",147,"2.742325712528729%","and",213,"3.3240676171301673%","to",58,"4.213781084299526%","and",73,"3.5448380498505063%","to",127,"3.458659372118151%","of",12,"3.6363636363636362%","the",3,"5.084745762711864%","of",60,"4.3358531317494595%"
"the",5,"3.6231884057971016%","safety",2,"4.0625%","and",27,"3.498217468805704%","and",11,"3.283582089552239%","in",26,"3.0889194149397605%","of",9,"4.386102101366988%","with",7,"5.624063258556929%","and",43,"2.0828536260565347%","to",74,"3.173898746098469%","to",91,"3.998931777164526%","and",75,"3.0929812422530913%","in",66,"4.578674462131784%","to",36,"1.6770017701991853%","in",95,"2.393686830176571%","in",61,"3.3546096589546885%","to",59,"4.333589458369606%","to",108,"3.0747941504642067%","in",187,"3.1328768566327865%","and",46,"3.4276149744750204%","to",65,"3.919522636762963%","of",125,"4.422300265885995%","symptoms",11,"3.3333333333333335%","to",3,"5.084745762711864%","and",56,"2.4994000479961604%"
"brain",5,"3.6231884057971016%","tolerability",2,"4.0625%","is",19,"1.6934046345811051%","is",8,"2.388059701492537%","to",26,"3.914823828783873%","and",8,"3.066108478074778%","and",7,"4.53963230861965%","in",30,"4.761600706730165%","in",68,"3.2664618676449666%","and",91,"3.115667633293843%","to",72,"3.721051910665053%","to",38,"1.7368407914077546%","in",32,"2.8568087258386874%","to",94,"3.4538198237617967%","and",50,"2.699341880764971%","in",56,"3.1607842096110548%","in",87,"2.785512352363808%","to",181,"2.852564102461044%","study",38,"2.792209726866147%","in",46,"2.7227626866518566%","will",71,"1.8093478486952097%","to",10,"3.0303030303030303%","of",2,"3.389830508474576%","to",51,"2.802975761939045%"
"cross-sectional",3,"2.1739130434782608%","in",2,"4.0625%","a",15,"1.4260249554367201%","risperidone",6,"1.791044776119403%","will",21,"1.0889947573364658%","with",8,"3.3714953606428693%","to",6,"2.617174136161478%","study",29,"3.318130121008501%","will",56,"1.8927077524954912%","a",68,"2.457170803932435%","study",55,"3.382692845694803%","will",31,"1.7216458706945996%","a",22,"2.110229572285135%","with",59,"1.9860453373173879%","is",39,"1.8876971999642478%","a",48,"1.9948746643657433%","with",84,"2.341531386045107%","will",109,"1.4147571590766%","in",34,"2.9114039092087567%","with",36,"2.0936904877054676%","with",68,"2.739916463243943%","or",7,"2.121212121212121%","aducanumab-avwa",2,"3.389830508474576%","be",44,"2.3092152627789777%"
"studies",3,"2.1739130434782608%","health",2,"3.125%","to",13,"2.5623885918003566%","placebo",6,"1.791044776119403%","study",17,"2.7219488849590574%","study",7,"2.051501737350659%","study",4,"3.2242742290210646%","will",27,"1.1539721412648274%","a",52,"2.1063104423625996%","is",38,"1.8048448442261327%","will",47,"2.110612185660372%","a",30,"1.244330729243573%","for",19,"1.0356370575551601%","study",57,"2.0741798137519245%","a",31,"1.3038725999350078%","will",43,"1.5071737107933147%","a",75,"2.1148864612125897%","a",105,"1.5410560427661228%","will",32,"1.5590971894329135%","a",35,"1.4748880672786762%","in",66,"2.86729203483459%","a",7,"2.121212121212121%","in",2,"3.389830508474576%","study",36,"3.2301415886729066%"
"in",3,"2.1739130434782608%","the",2,"3.125%","study",12,"2.072192513368984%","associated",6,"1.791044776119403%","participants",15,"0.5025125628140704%","disease",6,"2.7439487385224925%","patients",4,"2.4990632585569292%","be",25,"0.9439163504467861%","be",38,"1.0482069381839472%","study",36,"2.383026441185445%","a",40,"1.2683068463628526%","on",30,"1.304230069481136%","this",17,"2.1028120162758266%","is",56,"1.9343125663187986%","study",31,"1.5510297707616676%","with",41,"2.1496896685351694%","will",71,"1.363383003613012%","be",85,"0.7349167591332232%","for",29,"1.1926508919899173%","study",33,"2.4826987372314266%","be",55,"1.2135187542782255%","these",7,"2.121212121212121%","and",2,"3.389830508474576%","visit",32,"1.1519078473722102%"
"these",3,"2.1739130434782608%","study",1,"2.5%","are",12,"0.8021390374331551%","in",6,"1.791044776119403%","with",13,"3.6253678910867295%","memantine",5,"1.1185682326621924%","donepezil",4,"2.1398432790837854%","a",23,"3.4206884981689654%","subjects",37,"1.2045182078576162%","with",36,"2.877447434697444%","with",30,"1.7458980442850316%","with",26,"2.5477840835867824%","is",17,"1.752552331788327%","a",52,"1.5815450046018982%","with",31,"2.868637966928307%","is",35,"1.718983624983747%","study",58,"2.486978457303365%","with",83,"2.0954689328821408%","be",29,"1.2398182976985932%","will",25,"1.2852489681480108%","a",53,"1.5817739412511964%","patient",7,"2.121212121212121%","participants",2,"3.389830508474576%","a",30,"2.288816894648428%"
