"1998","Num studies:1","","2000","Num studies:1","","2001","Num studies:1","","2002","Num studies:2","","2003","Num studies:5","","2004","Num studies:4","","2005","Num studies:8","","2006","Num studies:5","","2007","Num studies:3","","2008","Num studies:11","","2009","Num studies:13","","2010","Num studies:14","","2011","Num studies:12","","2012","Num studies:18","","2013","Num studies:17","","2014","Num studies:19","","2015","Num studies:14","","2016","Num studies:30","","2017","Num studies:32","","2018","Num studies:21","","2019","Num studies:35","","2020","Num studies:20","","2021","Num studies:2","","No Start Date","Num studies:4",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"the",6,"8.0%","the",32,"8.040201005025125%","of",21,"6.666666666666667%","the",41,"6.421810103351685%","the",52,"5.505561118008552%","the",39,"7.005614857242038%","the",63,"5.690480263288203%","of",46,"4.531003167600348%","the",175,"8.323880030196337%","of",117,"4.950866137070851%","of",191,"5.785462453068608%","the",156,"5.861947169187185%","the",229,"6.680659753492219%","the",328,"5.492151363552928%","the",153,"5.481697718073147%","the",396,"5.911997415101529%","the",166,"5.609134641915724%","the",701,"5.406269751700917%","the",488,"5.812883431570731%","the",566,"6.476130681782391%","the",941,"5.787286785871596%","the",428,"5.687598756038116%","of",9,"5.354361370716511%","of",87,"5.792619660217117%"
"and",4,"5.333333333333333%","and",19,"4.773869346733668%","and",15,"4.761904761904762%","of",36,"5.52738336713996%","and",48,"3.8688768146575825%","of",36,"6.856513060834852%","of",57,"4.767989081159353%","and",43,"3.456264191660394%","of",101,"5.559656116696211%","the",110,"5.7597284696430755%","the",177,"5.052937766419722%","of",117,"4.578309416492794%","of",178,"5.03771565724552%","of",254,"4.320646723332414%","of",98,"4.018794584122246%","of",292,"4.446639366608383%","of",114,"5.560023691327778%","of",479,"4.237568552322401%","of",403,"4.777718025529731%","of",379,"4.427245699121632%","of",650,"4.484805138769597%","of",252,"4.223674636710343%","the",8,"4.312694704049845%","the",80,"5.491397203137778%"
"to",4,"5.333333333333333%","of",15,"3.7688442211055277%","the",14,"4.444444444444445%","and",24,"3.7496377861489423%","of",44,"4.6429394671615025%","and",24,"2.9069860279441118%","to",40,"3.846114254921813%","the",40,"4.316631927124855%","will",88,"3.447564018895573%","and",84,"3.4602659286292723%","and",162,"4.259337710380169%","and",99,"3.788649191927995%","and",155,"4.081166107249275%","and",243,"4.408875884313529%","to",95,"3.9986862252856334%","and",229,"4.055984102130009%","and",68,"3.364364859073705%","and",472,"3.8930869048907204%","and",293,"3.1311423704981793%","and",359,"3.78401249138669%","and",550,"3.3376987879459166%","and",225,"3.7562492576502264%","with",6,"3.952492211838006%","and",64,"3.353322343428146%"
"of",3,"4.0%","study",10,"2.512562814070352%","on",8,"2.5396825396825395%","in",20,"3.1570559258186033%","to",32,"3.907995544104319%","to",22,"4.617130955480344%","and",37,"3.73499622589615%","in",34,"3.7801752567998994%","and",83,"2.5552297080196316%","to",76,"3.3735110474932557%","in",111,"2.8748206056233476%","in",75,"3.487584364849206%","to",100,"2.9139146877636404%","to",121,"2.3426115732578205%","and",90,"3.5844978550039044%","in",149,"2.1769592871335313%","to",63,"3.258073236522903%","to",344,"2.9214476269191905%","to",247,"3.1657426536251223%","to",238,"2.8029824919183697%","in",418,"2.725190220180827%","to",161,"2.4867723728647895%","and",6,"4.526869158878505%","in",60,"2.1220229349707496%"
"dementia",3,"4.0%","in",10,"2.512562814070352%","primary",7,"2.2222222222222223%","with",16,"2.46740075340481%","a",27,"2.213863412854162%","a",16,"1.2982035928143714%","in",34,"2.679923986810619%","to",28,"3.0930947041466994%","to",65,"1.9778161551340343%","in",55,"2.7619760684565624%","to",106,"2.8205085409994006%","to",69,"3.486061758428131%","in",86,"2.186826456593893%","in",120,"2.5960962217925148%","in",74,"2.7243389334014956%","to",139,"2.2714134961193944%","will",55,"1.1152630885657102%","in",272,"2.194532888972297%","in",247,"2.8027756898877603%","in",201,"2.264183849742752%","to",389,"2.6750034198913144%","in",140,"2.050621396001903%","eye",5,"2.336448598130841%","to",28,"1.2757156872000301%"
"study",3,"4.0%","to",9,"2.2613065326633164%","patients",6,"1.9047619047619047%","for",14,"2.2520042499758524%","will",18,"1.1956746365493212%","will",13,"1.0736526946107785%","a",24,"1.3294642783757742%","will",17,"1.5402371244847886%","be",51,"2.1272550183738645%","is",43,"2.262497835764633%","will",58,"1.415862559586422%","a",54,"2.047741286812432%","will",62,"1.3379630631299084%","a",91,"1.6080892011704446%","will",41,"1.0591284820326663%","with",100,"1.9807311224501594%","in",50,"2.607598873151272%","a",232,"2.077399983195183%","a",159,"1.8917626341574734%","a",156,"1.8726344867783433%","a",319,"2.036205789715243%","a",111,"1.5292685386397442%","autobiographical",5,"2.336448598130841%","with",26,"1.340872456915772%"
"health",2,"2.6666666666666665%","medicare",9,"2.2613065326633164%","ot",6,"1.9047619047619047%","to",13,"1.9501593740944654%","in",17,"2.0052533289427035%","be",10,"0.874251497005988%","study",22,"2.358665534312903%","treatment",15,"1.3523360842486674%","in",49,"1.893989386960772%","with",34,"2.083998366089327%","with",56,"1.640858629435767%","will",38,"1.3331961823825167%","a",52,"1.355690005673542%","will",84,"0.9858802573583145%","is",41,"1.6088373438168506%","a",73,"1.2143010854986884%","is",45,"1.9085172662086418%","will",199,"1.227054464149655%","is",111,"1.4160876649832725%","will",120,"1.4702627673920343%","with",233,"1.6453422105697137%","will",109,"1.9049482635946275%","retrieval",5,"2.336448598130841%","for",24,"0.9637455706910549%"
"a",2,"2.6666666666666665%","demonstration",7,"1.7587939698492463%","3",6,"1.9047619047619047%","will",13,"1.98251714478895%","is",15,"2.0151850516863132%","in",9,"2.026512193005294%","is",21,"2.1680029349564283%","on",12,"1.024176513506123%","a",47,"2.051050034295107%","a",31,"1.3137649325932563%","ad",54,"1.304617727675064%","patients",35,"1.795338955873373%","with",51,"1.067426640322121%","with",73,"1.7619312412131476%","with",39,"1.9950314708668775%","-",72,"0.27320243142045303%","with",42,"1.6233071789938076%","be",161,"1.0427024694458433%","with",111,"1.452561452731476%","for",113,"1.0235695214019667%","will",224,"1.1398320231007062%","is",86,"1.1978577270880342%","in",5,"2.9108255451713396%","will",23,"1.3149744402494117%"
"with",2,"2.6666666666666665%","beneficiaries",7,"1.7587939698492463%","intervention",6,"1.9047619047619047%","be",11,"1.7024050999710227%","this",13,"1.4291000841042891%","with",9,"2.419691052677254%","with",20,"0.9899644933480061%","study",12,"1.6062901984528921%","with",32,"0.8443641739634059%","disease",28,"1.7744278184791091%","be",48,"1.1116151487156531%","is",34,"1.7620383138552465%","is",48,"1.5213721799190463%","ad",69,"1.3265397932268561%","a",39,"1.0671410451796337%","is",61,"1.1626177054792628%","be",34,"0.674737454829469%","with",129,"1.158795396413901%","will",101,"1.1054706012828373%","with",99,"1.218853859519732%","is",179,"1.4324778551918649%","be",85,"1.3209093985790046%","alzheimer",4,"2.4435358255451716%","a",22,"0.7142511153714544%"
