"2005","Num studies:1","","2006","Num studies:1","","2008","Num studies:4","","2009","Num studies:3","","2010","Num studies:1","","2011","Num studies:1","","2012","Num studies:2","","2013","Num studies:3","","2014","Num studies:2","","2015","Num studies:3","","2016","Num studies:4","","2017","Num studies:4","","2018","Num studies:4","","2019","Num studies:9","","2020","Num studies:7","","2021","Num studies:3","","2022","Num studies:3","","2023","Num studies:1","","2025","Num studies:1","","No Start Date","Num studies:2",""
"word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study","word","number of mentions","Avg percent of mentions per study"
"the",31,"5.827067669172933%","the",9,"7.142857142857143%","the",57,"5.134534151368733%","of",23,"4.962993995252059%","the",4,"6.896551724137931%","to",4,"6.779661016949152%","the",10,"6.07843137254902%","the",42,"6.642948343207485%","the",8,"5.131578947368421%","the",38,"6.872694556905084%","the",57,"5.006274909502695%","of",38,"5.631936007376128%","the",110,"6.508982653680888%","the",129,"5.936167504371987%","the",72,"5.358050519870348%","the",34,"3.770400976855139%","the",74,"8.11559433408173%","of",11,"5.445544554455446%","will",8,"5.095541401273885%","the",15,"3.96002024291498%"
"of",18,"3.3834586466165413%","of",7,"5.555555555555555%","of",38,"3.495346264791498%","the",22,"4.534282921379695%","of",4,"6.896551724137931%","of",4,"6.779661016949152%","of",10,"8.431372549019608%","will",32,"2.934142752023547%","will",7,"2.6315789473684212%","of",20,"4.620932673564252%","of",46,"3.490851147940222%","the",35,"5.263103831968986%","of",70,"5.02170539423776%","of",100,"4.901987044368891%","of",54,"3.8694275212057216%","will",31,"3.638216607879553%","of",42,"4.983475907845656%","the",10,"4.9504950495049505%","of",5,"3.1847133757961785%","and",15,"4.137145748987854%"
"cognitive",17,"3.1954887218045114%","will",5,"3.9682539682539684%","in",30,"2.6537328413051107%","to",20,"3.779500069822651%","study",3,"5.172413793103448%","determine",2,"3.389830508474576%","to",6,"5.294117647058823%","to",25,"3.6158082407722483%","focus",7,"2.6315789473684212%","to",16,"3.884090568301095%","will",37,"2.5966864407394725%","and",23,"2.7884543552965786%","to",41,"3.2475025979510193%","to",74,"3.746149348401897%","and",50,"3.42951460105095%","and",30,"5.118169965445037%","and",25,"2.933841757371169%","and",7,"3.4653465346534653%","acupuncture",4,"2.5477707006369426%","of",11,"3.2641700404858303%"
"and",16,"3.007518796992481%","divalproex",3,"2.380952380952381%","will",28,"3.2190100192293594%","and",18,"3.456221198156682%","in",3,"5.172413793103448%","magnetic",2,"3.389830508474576%","will",4,"1.9607843137254901%","be",25,"2.1556625861261622%","and",6,"2.255639097744361%","and",15,"3.3934622881991303%","to",35,"4.478274404200807%","is",17,"2.4932777862967592%","and",38,"2.3627909380789935%","and",70,"2.409024320520233%","in",39,"3.2381976181646164%","to",24,"2.8869935311621213%","will",22,"1.3605442176870748%","in",7,"3.4653465346534653%","patient",4,"2.5477707006369426%","in",11,"2.909919028340081%"
"to",12,"2.255639097744361%","er",3,"2.380952380952381%","be",26,"2.887279114840953%","a",15,"2.4780058651026393%","patients",3,"5.172413793103448%","fields",2,"3.389830508474576%","a",3,"1.4705882352941178%","study",19,"2.2071783193291976%","of",5,"1.8796992481203008%","a",14,"1.7115009746588694%","and",34,"2.9989066933873714%","with",16,"2.7387546985460065%","a",33,"2.8549535591405815%","in",46,"1.9105478449562499%","to",31,"2.4245010019633715%","be",23,"2.1461394738170987%","to",21,"2.0318865697016957%","levels",6,"2.9702970297029703%","be",4,"2.5477707006369426%","will",10,"3.023785425101215%"
"a",12,"2.255639097744361%","patients",3,"2.380952380952381%","and",24,"2.435431994208237%","alzheimer",14,"1.9466554950425918%","is",2,"3.4482758620689653%","improve",2,"3.389830508474576%","fmri-sam",3,"1.4705882352941178%","in",18,"4.192115511579952%","a",5,"1.8796992481203008%","with",13,"3.244714349977508%","dose",23,"0.8600022696967118%","to",14,"2.144826045672226%","in",33,"2.3134131279916197%","a",43,"2.2558330336057284%","with",29,"2.3378218435254925%","of",20,"3.4555898475803652%","in",20,"2.2656584001121813%","to",4,"1.9801980198019802%","the",4,"2.5477707006369426%","visit",9,"2.1634615384615383%"
"in",10,"1.8796992481203008%","be",3,"2.380952380952381%","a",20,"2.1403359837060454%","disease",14,"2.2713308197179165%","to",2,"3.4482758620689653%","memory",2,"3.389830508474576%","ad",3,"1.4705882352941178%","and",18,"1.6405779650812764%","group",5,"1.8796992481203008%","is",8,"2.711201079622132%","donepezil",23,"0.758575197889182%","in",13,"1.9294190906445856%","with",24,"2.209909420130636%","will",35,"1.6362801014109367%","study",26,"1.8401735653283955%","a",15,"2.0579450506882773%","strategies",19,"1.1750154607297465%","formoterol",4,"1.9801980198019802%","in",3,"1.910828025477707%","be",8,"2.365890688259109%"
"dementia",9,"1.6917293233082706%","study",3,"2.380952380952381%","to",20,"1.8698950484951697%","with",11,"1.4041335009076945%","and",2,"3.4482758620689653%","in",2,"3.389830508474576%","patients",3,"1.4705882352941178%","of",16,"2.795519258231611%","to",4,"3.6278195488721803%","ead",8,"0.7797270955165692%","be",23,"1.5807711822414707%","study",12,"2.1044853912571657%","patients",19,"1.4670879469720846%","be",32,"1.2426931766788247%","patients",18,"1.631423612746483%","in",14,"3.352543248162153%","patients",16,"1.644070215498787%","ad",4,"1.9801980198019802%","moca",3,"1.910828025477707%","a",7,"1.8598178137651822%"
"with",8,"1.5037593984962405%","visit",3,"2.380952380952381%","is",16,"1.0879387902642783%","will",10,"1.4027370478983385%","pf-01913539",2,"3.4482758620689653%","with",2,"3.389830508474576%","-",3,"1.4705882352941178%","a",16,"1.3880527125560238%","intervention",4,"1.5037593984962405%","in",7,"1.5727995201679412%","study",21,"1.5994852681102079%","a",12,"1.4825423950395937%","for",18,"0.8698605455885473%","study",31,"1.9642843584110754%","a",17,"1.3087358586709108%","with",14,"2.504726017503345%","memory",16,"1.0985839557268129%","this",3,"1.4851485148514851%","and",3,"1.910828025477707%","trial",5,"1.2019230769230769%"
