"Start Year","IsCovidYear","is completed","total words","depression percent","anxiety percent","loneliness percent","distress percent","any word we want percent","depression num mentions","anxiety num mentions","loneliness num mentions","distress num mentions","any word we want num mentions","depression is mentioned","anxiety is mentioned","loneliness is mentioned","distress is mentioned","any word we want is mentioned"
"2024",0,0,1525,"0.19672131147540983%","0.13114754098360656%","1.9672131147540983%","0.13114754098360656%","2.4262295081967213%",3,2,30,2,37,1,1,1,1,1
"2017",0,1,1224,"0.4084967320261438%","0.4084967320261438%","0.0%","1.3888888888888888%","2.2058823529411766%",5,5,0,17,27,1,1,0,1,1
"2022",1,0,670,"0.29850746268656714%","1.492537313432836%","0.0%","0.29850746268656714%","2.08955223880597%",2,10,0,2,14,1,1,0,1,1
"2005",0,1,323,"4.024767801857585%","0.0%","0.0%","0.0%","4.024767801857585%",13,0,0,0,13,1,0,0,0,1
"2019",0,0,676,"0.7396449704142012%","0.8875739644970414%","0.0%","0.14792899408284024%","1.775147928994083%",5,6,0,1,12,1,1,0,1,1
"2014",0,0,280,"3.9285714285714284%","0.0%","0.0%","0.0%","3.9285714285714284%",11,0,0,0,11,1,0,0,0,1
"2021",1,1,323,"0.30959752321981426%","0.0%","2.476780185758514%","0.0%","2.7863777089783284%",1,0,8,0,9,1,0,1,0,1
"2016",0,1,790,"0.12658227848101267%","0.25316455696202533%","0.0%","0.759493670886076%","1.139240506329114%",1,2,0,6,9,1,1,0,1,1
"2008",0,1,385,"0.0%","2.3376623376623376%","0.0%","0.0%","2.3376623376623376%",0,9,0,0,9,0,1,0,0,1
"2019",0,1,164,"2.4390243902439024%","2.4390243902439024%","0.0%","0.0%","4.878048780487805%",4,4,0,0,8,1,1,0,0,1
"2020",0,0,447,"0.8948545861297539%","0.8948545861297539%","0.0%","0.0%","1.7897091722595078%",4,4,0,0,8,1,1,0,0,1
"2021",1,0,1617,"0.37105751391465674%","0.12368583797155226%","0.0%","0.0%","0.494743351886209%",6,2,0,0,8,1,1,0,0,1
"2020",0,1,429,"0.0%","1.1655011655011656%","0.0%","0.4662004662004662%","1.6317016317016317%",0,5,0,2,7,0,1,0,1,1
"2010",0,1,1552,"0.19329896907216496%","0.25773195876288657%","0.0%","0.0%","0.4510309278350515%",3,4,0,0,7,1,1,0,0,1
"2022",1,0,306,"0.6535947712418301%","0.9803921568627451%","0.6535947712418301%","0.0%","2.287581699346405%",2,3,2,0,7,1,1,1,0,1
"2003",0,1,358,"1.9553072625698324%","0.0%","0.0%","0.0%","1.9553072625698324%",7,0,0,0,7,1,0,0,0,1
"2012",0,1,140,"4.285714285714286%","0.0%","0.0%","0.7142857142857143%","5.0%",6,0,0,1,7,1,0,0,1,1
"2022",1,0,690,"0.2898550724637681%","0.2898550724637681%","0.0%","0.2898550724637681%","0.8695652173913044%",2,2,0,2,6,1,1,0,1,1
"2007",0,1,564,"0.3546099290780142%","0.1773049645390071%","0.0%","0.5319148936170213%","1.0638297872340425%",2,1,0,3,6,1,1,0,1,1
"2006",0,1,497,"1.2072434607645874%","0.0%","0.0%","0.0%","1.2072434607645874%",6,0,0,0,6,1,0,0,0,1
"2019",0,0,243,"1.2345679012345678%","1.2345679012345678%","0.0%","0.0%","2.4691358024691357%",3,3,0,0,6,1,1,0,0,1
"2019",0,0,653,"0.7656967840735069%","0.15313935681470137%","0.0%","0.0%","0.9188361408882083%",5,1,0,0,6,1,1,0,0,1
"2020",0,1,204,"0.9803921568627451%","1.4705882352941178%","0.0%","0.0%","2.450980392156863%",2,3,0,0,5,1,1,0,0,1
"2022",1,0,293,"0.3412969283276451%","0.6825938566552902%","0.6825938566552902%","0.0%","1.7064846416382253%",1,2,2,0,5,1,1,1,0,1
"2021",1,0,499,"0.20040080160320642%","0.20040080160320642%","0.0%","0.6012024048096193%","1.0020040080160322%",1,1,0,3,5,1,1,0,1,1
"2020",0,1,899,"0.22246941045606228%","0.22246941045606228%","0.11123470522803114%","0.0%","0.5561735261401557%",2,2,1,0,5,1,1,1,0,1
"2022",1,0,292,"0.3424657534246575%","0.684931506849315%","0.684931506849315%","0.0%","1.7123287671232874%",1,2,2,0,5,1,1,1,0,1
"2016",0,0,1251,"0.15987210231814547%","0.23980815347721823%","0.0%","0.0%","0.3996802557953637%",2,3,0,0,5,1,1,0,0,1
"2012",0,1,1113,"0.44923629829290207%","0.0%","0.0%","0.0%","0.44923629829290207%",5,0,0,0,5,1,0,0,0,1
"2018",0,0,561,"0.8912655971479501%","0.0%","0.0%","0.0%","0.8912655971479501%",5,0,0,0,5,1,0,0,0,1
"2015",0,1,1217,"0.2465078060805259%","0.16433853738701726%","0.0%","0.0%","0.4108463434675431%",3,2,0,0,5,1,1,0,0,1
"2018",0,1,877,"0.5701254275940707%","0.0%","0.0%","0.0%","0.5701254275940707%",5,0,0,0,5,1,0,0,0,1
"2021",1,0,314,"0.6369426751592356%","0.6369426751592356%","0.0%","0.3184713375796178%","1.592356687898089%",2,2,0,1,5,1,1,0,1,1
"2021",1,0,1419,"0.14094432699083861%","0.21141649048625794%","0.0%","0.0%","0.3523608174770966%",2,3,0,0,5,1,1,0,0,1
"2007",0,1,497,"0.8048289738430584%","0.2012072434607646%","0.0%","0.0%","1.006036217303823%",4,1,0,0,5,1,1,0,0,1
"2018",0,0,552,"0.36231884057971014%","0.36231884057971014%","0.0%","0.0%","0.7246376811594203%",2,2,0,0,4,1,1,0,0,1
"2015",0,1,2117,"0.0944733112895607%","0.0944733112895607%","0.0%","0.0%","0.1889466225791214%",2,2,0,0,4,1,1,0,0,1
"2003",0,0,410,"0.4878048780487805%","0.4878048780487805%","0.0%","0.0%","0.975609756097561%",2,2,0,0,4,1,1,0,0,1
"2007",0,0,2108,"0.14231499051233396%","0.04743833017077799%","0.0%","0.0%","0.18975332068311196%",3,1,0,0,4,1,1,0,0,1
"2021",1,0,862,"0.3480278422273782%","0.11600928074245939%","0.0%","0.0%","0.46403712296983757%",3,1,0,0,4,1,1,0,0,1
"2010",0,1,372,"0.5376344086021505%","0.5376344086021505%","0.0%","0.0%","1.075268817204301%",2,2,0,0,4,1,1,0,0,1
"2012",0,1,237,"0.8438818565400844%","0.8438818565400844%","0.0%","0.0%","1.6877637130801688%",2,2,0,0,4,1,1,0,0,1
"2016",0,0,261,"0.7662835249042146%","0.7662835249042146%","0.0%","0.0%","1.5325670498084292%",2,2,0,0,4,1,1,0,0,1
"2022",1,0,458,"0.6550218340611353%","0.0%","0.0%","0.2183406113537118%","0.8733624454148472%",3,0,0,1,4,1,0,0,1,1
"2018",0,0,500,"0.0%","0.8%","0.0%","0.0%","0.8%",0,4,0,0,4,0,1,0,0,1
"2018",0,0,534,"0.0%","0.7490636704119851%","0.0%","0.0%","0.7490636704119851%",0,4,0,0,4,0,1,0,0,1
"2020",0,0,172,"2.3255813953488373%","0.0%","0.0%","0.0%","2.3255813953488373%",4,0,0,0,4,1,0,0,0,1
"2021",1,0,1579,"0.1266624445851805%","0.0%","0.0%","0.1266624445851805%","0.253324889170361%",2,0,0,2,4,1,0,0,1,1
